username,Plan Status,login validation,Med Claims,Rx Claims,Payment,Medical EOB,Rx EOB,Plan Type
q4_dec_aarp366,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp364,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp375,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,PDP
q4_dec_aarp371,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp369,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp373,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp376,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp377,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp384,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,PDP
q4_dec_aarp379,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp385,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp386,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,PASSED,PDP
q4_dec_aarp390,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp393,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp394,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp396,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp391,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp399,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp398,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_aarp401,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
